"Year";"Pos";"Class";"No";"TeamCtry";"Team";"DrCtry";"Drivers";"Chassis";"Engine";"Tyres";"Laps";"Distance";"Time";"Reason"
"2002";"1";"LMP900";"1";"DEU";"Audi Sport Team Joest";"DEU|DNK|ITA";"Frank Biela|Tom Kristensen|Emanuele Pirro";"Audi R8";"Audi 3.6L Turbo V8";"Michelin";"375";"5118.750";"";""
"2002";"2";"LMP900";"2";"DEU";"Audi Sport North America";"GBR|ITA|ITA";"Johnny Herbert|Christian Pescatori|Rinaldo Capello";"Audi R8";"Audi 3.6L Turbo V8";"Michelin";"374";"5105.100";"";""
"2002";"3";"LMP900";"3";"DEU";"Audi Sport Team Joest";"DEU|DEU|AUT";"Marco Werner|Michael Krumm|Philipp Peter";"Audi R8";"Audi 3.6L Turbo V8";"Michelin";"372";"5077.800";"";""
"2002";"4";"LMGTP";"8";"GBR";"Team Bentley";"GBR|BEL|USA";"Andy Wallace|Eric van de Poele|Butch Leitzinger";"Bentley EXP Speed 8";"Bentley 4.0L Turbo V8";"Dunlop";"362";"4941.300";"";""
"2002";"5";"LMP900";"15";"FRA";"PlayStation Team Oreca";"MCO|FRA|PRT";"Olivier Beretta|Érik Comas|Pedro Lamy";"Dallara SP1";"Judd GV4 4.0L V10";"Michelin";"359";"4900.350";"";""
"2002";"6";"LMP900";"14";"FRA";"PlayStation Team Oreca";"FRA|FRA|FRA";"Stéphane Sarrazin|Franck Montagny|Nicolas Minassian";"Dallara SP1";"Judd GV4 4.0L V10";"Michelin";"359";"4900.350";"";""
"2002";"7";"LMP900";"5";"JPN";"Audi Sport Japan Team Goh";"JPN|FRA|JPN";"Hiroki Katoh|Yannick Dalmas|Seiji Ara";"Audi R8";"Audi 3.6L Turbo V8";"Michelin";"358";"4886.700";"";""
"2002";"8";"LMP900";"16";"NLD";"Racing for Holland B.V.";"NLD|NLD|NLD";"Jan Lammers|Tom Coronel|Val Hillebrand";"Dome S101";"Judd GV4 4.0L V10";"Michelin";"351";"4791.150";"";""
"2002";"9";"LMP900";"6";"USA";"Team Cadillac";"ZAF|ITA|FRA";"Wayne Taylor|Max Angelelli|Christophe Tinseau";"Cadillac Northstar LMP02";"Cadillac Northstar 4.0L Turbo V8";"Michelin";"345";"4709.250";"";""
"2002";"10";"LMP900";"17";"FRA";"Pescarolo Sport";"FRA|FRA|FRA";"Sébastien Bourdais|Jean-Christophe Boullion|Franck Lagorce";"Courage C60";"Peugeot A32 3.2L Turbo V6";"Michelin";"343";"4681.950";"";""
"2002";"11";"GTS";"63";"USA";"Corvette Racing";"CAN|USA|GBR";"Ron Fellows|Johnny O'Connell|Oliver Gavin";"Chevrolet Corvette C5-R";"Chevrolet LS7R 7.0L V8";"Goodyear";"335";"4572.750";"";""
"2002";"12";"LMP900";"7";"USA";"Team Cadillac";"FRA|FRA|FIN";"Éric Bernard|Emmanuel Collard|""JJ Lehto"" Jyrki Juhani Järvilehto";"Cadillac Northstar LMP02";"Cadillac Northstar 4.0L Turbo V8";"Michelin";"334";"4559.100";"";""
"2002";"13";"GTS";"64";"USA";"Corvette Racing";"GBR|USA|FRA";"Andy Pilgrim|Kelly Collins|Franck Fréon";"Chevrolet Corvette C5-R";"Chevrolet LS7R 7.0L V8";"Goodyear";"331";"4518.150";"";""
"2002";"14";"GTS";"52";"FRA|FRA";"Equipe de France FFSA|Oreca";"FRA|FRA|FRA";"Jonathan Cochet|Benoît Tréluyer|Jean-Philippe Belloc";"Chrysler Viper GTS-R";"Chrysler 8.0L V10";"Michelin";"326";"4449.900";"";""
